2026-01-20-17-27-48	Epoch 4	IoU 0.00249	F1 0.00497	Pd 0.43130	Fa 72.26
2026-01-20-17-28-05	Epoch 9	IoU 0.00000	F1 0.00000	Pd 0.00000	Fa 0.36
2026-01-20-17-28-22	Epoch 14	IoU 0.00018	F1 0.00037	Pd 0.00382	Fa 0.21
2026-01-20-17-28-40	Epoch 19	IoU 0.00685	F1 0.01360	Pd 0.06107	Fa 0.25
2026-01-20-17-28-57	Epoch 24	IoU 0.09226	F1 0.16893	Pd 0.43893	Fa 0.18
2026-01-20-17-29-15	Epoch 29	IoU 0.30032	F1 0.46192	Pd 0.91603	Fa 0.83
2026-01-20-17-29-32	Epoch 34	IoU 0.16676	F1 0.28585	Pd 0.94656	Fa 2.01
2026-01-20-17-29-50	Epoch 39	IoU 0.15650	F1 0.27064	Pd 0.91985	Fa 2.90
2026-01-20-17-30-07	Epoch 44	IoU 0.14664	F1 0.25578	Pd 0.96947	Fa 3.21
2026-01-20-17-30-24	Epoch 49	IoU 0.31404	F1 0.47797	Pd 0.95802	Fa 2.14
2026-01-20-17-30-42	Epoch 54	IoU 0.17781	F1 0.30194	Pd 0.98092	Fa 3.79
2026-01-20-17-30-59	Epoch 59	IoU 0.40021	F1 0.57164	Pd 0.94275	Fa 1.49
2026-01-20-17-31-17	Epoch 64	IoU 0.18489	F1 0.31208	Pd 0.96947	Fa 2.99
